,precision,recall,f1-score,support
Bacterial Leaf Blight,0.8666666666666667,0.9479166666666666,0.9054726368159204,96.0
Brown Spot,0.9247311827956989,0.8958333333333334,0.91005291005291,96.0
Healthy Rice Leaf,0.9696969696969697,0.9795918367346939,0.9746192893401016,98.0
Leaf Blast,0.9157894736842105,0.925531914893617,0.9206349206349206,94.0
Leaf scald,0.9456521739130435,0.9157894736842105,0.93048128342246,95.0
Sheath Blight,0.9888888888888889,0.9368421052631579,0.9621621621621622,95.0
accuracy,0.9337979094076655,0.9337979094076655,0.9337979094076655,0.9337979094076655
macro avg,0.9352375592742463,0.9335842217626132,0.9339038670714124,574.0
weighted avg,0.9353137771275079,0.9337979094076655,0.9340486981271068,574.0
